App,Time Interval,Side Effects,Solutions
Facebook,30-60,"Decreased self-esteem, anxiety, FOMO (Severity 2 Moderate)","Limit daily use, curate newsfeed, focus on real-world connections"
YouTube,30-60,"Procrastination, information overload (Severity 2 Moderate)","Set time limits, utilize ""Do Not Disturb"" mode, diversify content sources"
Instagram,120+,Seek professional help (Severity 4 Severe),Seek professional help
TikTok,0-30,"Mild distraction, fleeting comparison (Severity 1 Mild)","Manage notifications, avoid algorithmic rabbit holes"
Snapchat,0-30,"Mild distraction, fleeting FOMO (Severity 1 Mild)","Manage notifications, avoid beauty filters"
Twitter,0-30,"Information overload, fleeting negativity (Severity 1 Mild)","Avoid checking during work, curate newsfeed"
Facebook,120+,Seek professional help (Severity 4 Severe),Seek professional help
Twitter,30-60,"Anxiety, political polarization (Severity 2 Moderate)","Mute or block negativity, fact-check information, limit political content"
Twitter,60-120,"Sleep disturbance, echo chambers (Severity 3 Significant)","Schedule breaks, prioritize sleep hygiene, diversify content sources"
TikTok,120+,Seek professional help (Severity 4 Severe),Seek professional help
YouTube,0-30,"Passive consumption, mild distraction (Severity 1 Mild)","Use playlists, prioritize educational content"
Instagram,30-60,"Body image dissatisfaction, FOMO (Severity 2 Moderate)","Follow diverse accounts, avoid explore page, focus on self-expression"
